"problem_number","title","classification","to_check_rank","latest_reference_year","status","note"
"EP-1","Erdős Problem #1","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-3","Erdős Problem #3","harder","","2024","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-5","Erdős Problem #5","harder","","2020","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-9","Erdős Problem #9","harder","","2011","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-10","Erdős Problem #10","to-check","362","1998","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Granville and Soundararajan \cite{GrSo98} have conjectured that at most $3$ powers of 2 suffice for all odd integers, and hence at most $4$ powers of $2$ suffice for all even integers."
"EP-12","Erdős Problem #12","harder","","2017","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-14","Erdős Problem #14","to-check","310","1991","not_proved_identified_gap","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"EP-15","Erdős Problem #15","harder","","2023","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-17","Erdős Problem #17","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-18","Erdős Problem #18","to-check","285","1985","not_proved_identified_gap","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: Vose \cite{Vo85} proved the existence of infinitely many practical $m$ such that $h(m)\ll (\log m)^{1/2}$."
"EP-20","Erdős Problem #20","harder","","2021","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-25","Erdős Problem #25","to-check","1","","partial_positive_result_not_full_proof","proved logarithmic density exists when sum_i 1/n_i converges; also proved existence for pairwise-coprime moduli (density given by product, including zero in divergent case)"
"EP-28","Erdős Problem #28","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-30","Erdős Problem #30","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-32","Erdős Problem #32","harder","","2004","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-33","Erdős Problem #33","harder","","2001","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
"EP-36","Erdős Problem #36","harder","","2025","deprioritized_post2000_refs","Triaged as harder due to reference activity after 2000."
