m,best_iso,best_iso_over_m2,best_avg_sq_gap,best_avg_over_m,best_iso_maxA,best_avg_maxA,best_iso_max_run,best_avg_max_run
11,18,0.148760,11.272727,1.024793,91,84,5,6
12,24,0.166667,14.076923,1.173077,122,104,4,5
13,28,0.165680,15.318681,1.178360,133,130,4,6
14,36,0.183673,18.495238,1.321088,171,148,6,6
15,40,0.177778,18.983333,1.265556,192,189,5,7
16,46,0.179688,18.602941,1.162684,233,213,6,5
17,53,0.183391,22.379085,1.316417,266,259,7,6
18,63,0.194444,27.076023,1.504224,305,303,4,4
19,69,0.191136,27.305263,1.437119,358,336,6,5
20,82,0.205000,28.076190,1.403810,410,389,6,7
21,95,0.215420,34.536797,1.644609,500,457,4,6
22,107,0.221074,33.628458,1.528566,572,472,5,5
23,119,0.224953,40.398551,1.756459,621,557,6,5
24,134,0.232639,42.173333,1.757222,706,631,6,6
25,145,0.232000,41.366154,1.654646,799,694,4,6
26,164,0.242604,50.586895,1.945650,863,805,4,5
27,178,0.244170,55.100529,2.040760,953,879,5,6
28,195,0.248724,55.128079,1.968860,1031,966,5,5
29,213,0.253270,63.075862,2.175030,1213,1097,7,5
30,228,0.253333,66.163441,2.205448,1203,1161,4,6
31,253,0.263267,67.814516,2.187565,1407,1238,5,5
32,271,0.264648,72.363636,2.261364,1426,1405,6,6
33,288,0.264463,78.684492,2.384379,1487,1435,4,6
34,314,0.271626,85.673950,2.519822,1643,1569,6,5
35,334,0.272653,93.285714,2.665306,1833,1691,4,7
36,352,0.271605,90.696697,2.519353,1936,1797,5,5
37,381,0.278305,97.257468,2.628580,2199,1984,5,5
38,409,0.283241,114.728745,3.019177,2198,2174,5,6
39,431,0.283366,106.543590,2.731887,2272,2255,6,8
40,455,0.284375,121.563415,3.039085,2519,2493,6,5
41,485,0.288519,116.255517,2.835500,2914,2602,5,4
42,516,0.292517,110.327796,2.626852,2943,2609,5,6
43,547,0.295836,115.517970,2.686464,3030,2875,6,6
44,569,0.293905,130.911111,2.975253,3370,3049,6,4
45,596,0.294321,120.245411,2.672120,3347,3045,5,6
46,629,0.297259,140.716004,3.059044,3423,3383,5,7
47,660,0.298778,150.294326,3.197752,3654,3657,5,5
48,693,0.300781,160.765306,3.349277,4079,3824,8,5
49,729,0.303623,167.715918,3.422774,4358,4285,5,6
50,764,0.305600,154.650980,3.093020,4495,4281,5,5
51,808,0.310650,186.196078,3.650903,4629,4660,6,5
52,842,0.311391,166.705370,3.205873,5201,4621,6,5
53,875,0.311499,200.940601,3.791332,5399,5188,5,5
54,914,0.313443,199.290236,3.690560,5379,5519,5,5
55,951,0.314380,186.203896,3.385525,5844,5635,4,5
56,991,0.316008,218.407268,3.900130,6129,5773,5,5
57,1030,0.317021,229.275257,4.022373,6269,6030,6,7
58,1077,0.320155,214.674459,3.701284,6860,6260,6,5
59,1100,0.316001,221.222599,3.749536,6990,6768,5,4
60,1156,0.321111,218.259016,3.637650,7370,6886,5,5
61,1203,0.323300,203.960867,3.343621,7564,7226,4,5
62,1248,0.324662,201.960061,3.257420,8023,7202,5,6
63,1261,0.317712,243.247024,3.861064,7798,8028,7,5
64,1339,0.326904,225.011538,3.515805,8295,8001,6,6
65,1384,0.327574,257.703497,3.964669,9182,8524,7,6
66,1432,0.328742,235.363184,3.566109,9090,8574,6,7
67,1489,0.331700,267.102722,3.986608,9478,9446,5,5
68,1534,0.331747,289.062234,4.250915,9762,9377,5,6
69,1564,0.328502,294.448861,4.267375,10235,10245,5,6
70,1640,0.334694,301.623340,4.308905,10964,10449,5,5
71,1695,0.336243,313.830986,4.420155,11292,10996,5,6
72,1749,0.337384,316.650685,4.397926,11671,11155,6,5
73,1810,0.339651,319.129952,4.371643,11586,12015,5,6
74,1847,0.337290,336.898018,4.552676,12270,11990,5,6
75,1900,0.337778,311.235789,4.149811,12718,12717,6,6
76,1975,0.341932,327.209843,4.305393,13045,12667,7,6
77,2035,0.343228,363.146187,4.716184,14297,13455,7,5
78,2100,0.345168,358.710159,4.598848,14389,13667,5,6
79,2131,0.341452,361.946203,4.581598,14974,14359,5,5
80,2206,0.344687,373.089506,4.663619,15332,14476,5,5
