"id","problem_number","title","statement","background","status","category_id","difficulty_level_id"
1878,"EP-1","Erdős Problem #1","If $A\subseteq \{1,\ldots,N\}$ with $\lvert A\rvert=n$ is such that the subset sums $\sum_{a\in S}a$ are distinct for all $S\subseteq A$ then $ N \gg 2^{n}. $","Erdos called this 'perhaps my first serious problem' (in \cite{Er98} he dates it to 1931). The powers of $2$ show that $2^n$ would be best possible here. The trivial lower bound is $N \gg 2^{n}/n$, since all $2^n$ distinct subset sums must lie in $[0,Nn)$. Erdos and Moser \cite{Er56} proved $ N\geq (\tfrac{1}{4}-o(1))\frac{2^n}{\sqrt{n}}. $ (In \cite{Er85c} Erdos offered \$100 for any improvement of the constant $1/4$ here.) A number of improvements of the constant have been given (see \cite{St23} for a history), with the current record $\sqrt{2/\pi}$ first proved in unpublished work of Elkies and Gleason. Two proofs achieving this constant are provided by Dubroff, Fox, and Xu \cite{DFX21}, who in fact prove the exact bound $N\geq \binom{n}{\lfloor n/2\rfloor}$. In \cite{Er73} and \cite{ErGr80} the generalisation where $A\subseteq (0,N]$ is a set of real numbers such that the subset sums all differ by at least $1$ is proposed, with the same conjectured bound. (The second proof of \cite{DFX21} applies also to this generalisation.) This generalisation seems to have first appeared in \cite{Gr71}. This problem appears in Erdos' book with Spencer \cite{ErSp74} in the final chapter titled 'The kitchen sink'. As Ruzsa writes in \cite{Ru99} ""it is a rich kitchen where such things go to the sink"". The sequence of minimal $N$ for a given $n$ is A276661 in the OEIS. See also [350]. This is discussed in problem C8 of Guy's collection \cite{Gu04}. References [DFX21] Dubroff, Q. and Fox, J. and Xu, M. W., A note on the Erdos distinct subset sums problem. SIAM Journal on Discrete Mathematics (2021), 322-324. [Er56] Erdos, P., Problems and results in additive number theory. Colloque sur la Th\'{e}orie des Nombres, Bruxelles, 1955 (1956), 127-137. [Er73] Erdos, P., Problems and results on combinatorial number theory. A survey of combinatorial theory (Proc. Internat. Sympos., Colorado State Univ., Fort Collins, Colo., 1971) (1973), 117-138. [Er85c] Erdos, P., On some of my problems in number theory I would most like to see solved. Number theory (Ootacamund, 1984) (1985), 74-84. [Er98] Erdos, Paul, Some of my new and almost new problems and results in combinatorial number theory. Number theory (Eger, 1996) (1998), 169-180. [ErGr80] Erdos, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980). [ErSp74] Erdos, Paul and Spencer, Joel, Probabilistic methods in combinatorics. Akad\'{e}miai Kiad\'{o} (1974). [Gr71] Graham, R. L., On sums of integers taken from a fixed sequence. (1971), 22--40. [Gu04] Guy, Richard K., Unsolved problems in number theory. (2004), xviii+437. [Ru99] Ruzsa, I., Erdos and the Integers. Journal of Number Theory (1999), 115-163. [St23] Steinerberger, S., Some remarks on the Erdos distinct subset sums problem. arXiv:2208.12182 (2023).","open",1,3
1879,"EP-3","Erdős Problem #3","If $A\subseteq \mathbb{N}$ has $\sum_{n\in A}\frac{1}{n}=\infty$ then must $A$ contain arbitrarily long arithmetic progressions?","This is essentially asking for good bounds on $r_k(N)$, the size of the largest subset of $\{1,\ldots,N\}$ without a non-trivial $k$-term arithmetic progression. For example, a bound like $ r_k(N) \ll_k \frac{N}{(\log N)(\log\log N)^2} $ would be sufficient. Even the case $k=3$ is non-trivial, but was proved by Bloom and Sisask \cite{BlSi20}. Much better bounds for $r_3(N)$ were subsequently proved by Kelley and Meka \cite{KeMe23}. Green and Tao \cite{GrTa17} proved $r_4(N)\ll N/(\log N)^{c}$ for some small constant $c>0$. Gowers \cite{Go01} proved $ r_k(N) \ll \frac{N}{(\log\log N)^{c_k}}, $ where $c_k>0$ is a small constant depending on $k$. The current best bounds for general $k$ are due to Leng, Sah, and Sawhney \cite{LSS24}, who show that $ r_k(N) \ll \frac{N}{\exp((\log\log N)^{c_k})} $ for some constant $c_k>0$ depending on $k$. Curiously, Erdos \cite{Er83c} thought this conjecture was the 'only way to approach' the conjecture that there are arbitrarily long arithmetic progressions of prime numbers, now a theorem due to Green and Tao \cite{GrTa08} (see [219]). In \cite{Er81} Erdos makes the stronger conjecture that $ r_k(N) \ll_C\frac{N}{(\log N)^C} $ for every $C>0$ (now known for $k=3$ due to Kelley and Meka \cite{KeMe23}) - see [140]. See also [139] and [142]. This is discussed in problem A5 of Guy's collection \cite{Gu04}. References [BlSi20] Bloom, T.F. and Sisask, O., Breaking the logarithmic barrier in Roth's theorem on arithmetic progressions. arXiv:2007.03528 (2020). [Er81] Erdos, P., On the combinatorial problems which I would most like to see solved. Combinatorica (1981), 25-42. [Er83c] Erdos, Paul, Combinatorial problems in geometry. Math. Chronicle (1983), 35-54. [Go01] Gowers, W. T., A new proof of Szemer\'{e}di's theorem. Geom. Funct. Anal. (2001), 465-588. [GrTa08] Green, Ben and Tao, Terence, The primes contain arbitrarily long arithmetic progressions. Ann. of Math. (2) (2008), 481-547. [GrTa17] Green, Ben and Tao, Terence, New bounds for Szemer\'{e}di's theorem, III: a polylogarithmic bound for $r_4(N)$. Mathematika (2017), 944-1040. [Gu04] Guy, Richard K., Unsolved problems in number theory. (2004), xviii+437. [KeMe23] Kelley, Z. and Meka, R., Strong Bounds for 3-Progressions. arXiv:2302.05537 (2023). [LSS24] Leng, J., Sah, A. and Sawhney, M., Improved bounds for Szemer\'{e}di's theorem. arXiv:2402.17995 (2024).","open",1,1
1880,"EP-5","Erdős Problem #5","Let $C\geq 0$. Is there an infinite sequence of $n_i$ such that $ \lim_{i\to \infty}\frac{p_{n_i+1}-p_{n_i}}{\log n_i}=C? $","Let $S$ be the set of limit points of $(p_{n+1}-p_n)/\log n$. This problem asks whether $S=[0,\infty]$. Although this conjecture remains unproven, a lot is known about $S$. Some highlights: {UL} {LI}$\infty\in S$ by Westzynthius' result \cite{We31} on large prime gaps,{/LI} {LI}$0\in S$ by the work of Goldston, Pintz, and Yildirim \cite{GPY09} on small prime gaps,{/LI} {LI}Erdos \cite{Er55} and Ricci \cite{Ri56} independently showed that $S$ has positive Lebesgue measure,{/LI} {LI} Hildebrand and Maier \cite{HiMa88} showed that $S$ contains arbitrarily large (finite) numbers,{/LI} {LI} Pintz \cite{Pi16} showed that there exists some small constant $c>0$ such that $[0,c]\subset S$,{/LI} {LI} Banks, Freiberg, and Maynard \cite{BFM16} showed that at least $12.5\%$ of $[0,\infty)$ belongs to $S$,{/LI} {LI} Merikoski \cite{Me20} showed that at least $1/3$ of $[0,\infty)$ belongs to $S$, and that $S$ has bounded gaps.{/LI} {/UL} In \cite{Er65b}, \cite{Er85c}, and \cite{Er97c} Erdos asks whether $S$ is everywhere dense (but Weisenberg notes that clearly $S$ is closed so this is equivalent to asking whether $S=[0,\infty]$). See also [234]. References [BFM16] Banks, William D. and Freiberg, Tristan and Maynard, James, On limit points of the sequence of normalized prime gaps. Proc. Lond. Math. Soc. (3) (2016), 515-539. [Er55] Erd""{o}s, Paul, Some remarks on number theory. Riveon Lematematika (1955), 45-48. [Er65b] Erdos, Paul, Some recent advances and current problems in number theory. Lectures on Modern Mathematics, Vol. III (1965), 196-244. [Er85c] Erdos, P., On some of my problems in number theory I would most like to see solved. Number theory (Ootacamund, 1984) (1985), 74-84. [Er97c] Erdos, Paul, Some of my favorite problems and results. The mathematics of Paul Erdos, I (1997), 47-67. [GPY09] Goldston, Daniel A. and Pintz, J\'{a}nos and Y\i ld\i r\i m, Cem Y., Primes in tuples. I. Ann. of Math. (2) (2009), 819-862. [HiMa88] Hildebrand, Adolf and Maier, Helmut, Gaps between prime numbers. Proc. Amer. Math. Soc. (1988), 1-9. [Me20] Merikoski, Jori, Limit points of normalized prime gaps. J. Lond. Math. Soc. (2) (2020), 99-124. [Pi16] Pintz, J\'{a}nos, Polignac numbers, conjectures of Erdos on gaps between primes, arithmetic progressions in primes, and the bounded gap conjecture. From arithmetic to zeta-functions (2016), 367-384. [Ri56] Ricci, Giovanni, Recherches sur l'allure de la suite $\{p_{n+1}-p_n/\log p_n\}$. Colloque sur la Th\'{e}orie des Nombres, Bruxelles, 1955 (1956), 93-106. [We31] Westzynthius, E., ""{U}ber die Verteilung der Zahlen, die zu den n ersten Primzahlen teilerfremd sind. Commentat. Phys. Math. (1931), 1-37.","open",1,1
1881,"EP-9","Erdős Problem #9","Let $A$ be the set of all odd integers not of the form $p+2^{k}+2^l$ (where $k,l\geq 0$ and $p$ is prime). Is the upper density of $A$ positive?","In \cite{Er77c} Erdos credits Schinzel with proving that there are infinitely many odd integers not of this form, but gives no reference. Crocker \cite{Cr71} has proved there are $\gg\log\log N$ such integers in $\{1,\ldots,N\}$. Pan \cite{Pa11} improved this to $\gg_\epsilon N^{1-\epsilon}$ for any $\epsilon>0$. Erdos believed this cannot be proved by covering systems, i.e. integers of the form $p+2^k+2^l$ exist in every infinite arithmetic progression. The sequence of such numbers is A006286 in the OEIS. See also [10], [11], and [16]. This is discussed in problem A19 of Guy's collection \cite{Gu04}. References [Cr71] Crocker, Roger, On the sum of a prime and of two powers of two. Pacific J. Math. (1971), 103-107. [Er77c] Erdos, Paul, Problems and results on combinatorial number theory. III. Number theory day (Proc. Conf., Rockefeller Univ., New York, 1976) (1977), 43-72. [Gu04] Guy, Richard K., Unsolved problems in number theory. (2004), xviii+437. [Pa11] Pan, Hao, On the integers not of the form {$p+2^a+2^b$}. Acta Arith. (2011), 55-61.","open",1,1
1882,"EP-10","Erdős Problem #10","Is there some $k$ such that every integer is the sum of a prime and at most $k$ powers of 2?","Erdos described this as 'probably unattackable'. In \cite{ErGr80} Erdos and Graham suggest that no such $k$ exists. Gallagher \cite{Ga75} has shown that for any $\epsilon>0$ there exists $k(\epsilon)$ such that the set of integers which are the sum of a prime and at most $k(\epsilon)$ many powers of 2 has lower density at least $1-\epsilon$. Granville and Soundararajan \cite{GrSo98} have conjectured that at most $3$ powers of 2 suffice for all odd integers, and hence at most $4$ powers of $2$ suffice for all even integers. (The restriction to odd integers is important here - for example, Bogdan Grechuk has observed that $1117175146$ is not the sum of a prime and at most $3$ powers of $2$, and pointed out that parity considerations, coupled with the fact that there are many integers not the sum of a prime and $2$ powers of $2$ (see [9]) suggest that there exist infinitely many even integers which are not the sum of a prime and at most $3$ powers of $2$). See also [9], [11], and [16]. This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [ErGr80] Erdos, P. and Graham, R., Old and new problems and results in combinatorial number theory. Monographies de L'Enseignement Mathematique (1980). [Ga75] Gallagher, P. X., Primes and powers of 2. Invent. Math. (1975), 125-142. [GrSo98] Granville, A. and Soundararajan, K., A Binary Additive Problem of Erdos and the Order of $2$ mod $p^2$. The Ramanujan Journal (1998), 283-298.","open",1,1
1883,"EP-12","Erdős Problem #12","Let $A$ be an infinite set such that there are no distinct $a,b,c\in A$ such that $a\mid (b+c)$ and $b,c>a$. Is there such an $A$ with $ \liminf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N^{1/2}}>0? $ Does there exist some absolute constant $c>0$ such that there are always infinitely many $N$ with $ \lvert A\cap\{1,\ldots,N\}\rvert<N^{1-c}? $ Is it true that $ \sum_{n\in A}\frac{1}{n}<\infty? $","Asked by Erdos and S\'{a}rk""{o}zy \cite{ErSa70}, who proved that $A$ must have density $0$. They also prove that this is essentially best possible, in that given any function $f(x)\to \infty$ as $x\to \infty$ there exists a set $A$ with this property and infinitely many $N$ such that $ \lvert A\cap\{1,\ldots,N\}\rvert>\frac{N}{f(N)}. $ (Their example is given by all integers in $(y_i,\frac{3}{2}y_i)$ congruent to $1$ modulo $(2y_{i-1})!$, where $y_i$ is some sufficiently quickly growing sequence.) An example of an $A$ with this property where $ \liminf \frac{\lvert A\cap\{1,\ldots,N\}\rvert}{N^{1/2}}\log N>0 $ is given by the set of $p^2$, where $p\equiv 3\pmod{4}$ is prime. Elsholtz and Planitzer \cite{ElPl17} have constructed such an $A$ with $ \lvert A\cap\{1,\ldots,N\}\rvert\gg \frac{N^{1/2}}{(\log N)^{1/2}(\log\log N)^2(\log\log\log N)^2}. $ Schoen \cite{Sc01} proved that if all elements in $A$ are pairwise coprime then $ \lvert A\cap\{1,\ldots,N\}\rvert \ll N^{2/3} $ for infinitely many $N$. Baier \cite{Ba04} has improved this to $\ll N^{2/3}/\log N$. For the finite version see [13]. This problem has been formalised in Lean as part of the Google DeepMind Formal Conjectures project. References [Ba04] Baier, Stephan, A note on {$\scr P$}-sets. Integers (2004), A13, 6. [ElPl17] Elsholtz, Christian and Planitzer, Stefan, On Erdos and {S}\'{a}rk""ozy's sequences with Property P. Monatsh. Math. (2017), 565--575. [ErSa70] Erdos, P. and S\'{a}rk""ozi, A., On the divisibility properties of sequences of integers. Proc. London Math. Soc. (3) (1970), 97-101. [Sc01] Schoen, Tomasz, On a problem of Erdos and {S}\'{a}rk""ozy. J. Combin. Theory Ser. A (2001), 191--195.","open",1,1
1884,"EP-14","Erdős Problem #14","Let $A\subseteq \mathbb{N}$. Let $B\subseteq \mathbb{N}$ be the set of integers which are representable in exactly one way as the sum of two elements from $A$. Is it true that for all $\epsilon>0$ and large $N$ $ \lvert \{1,\ldots,N\}\backslash B\rvert \gg_\epsilon N^{1/2-\epsilon}? $ Is it possible that $ \lvert \{1,\ldots,N\}\backslash B\rvert =o(N^{1/2})? $","Apparently originally considered by Erdos and Nathanson, although later Erdos attributes this to Erdos, S\'{a}rk""{o}zy, and Szemer\'{e}di (but gives no reference), and claims a construction of an $A$ such that for all $\epsilon>0$ and all large $N$ $ \lvert \{1,\ldots,N\}\backslash B\rvert \ll_\epsilon N^{1/2+\epsilon}, $ and yet there for all $\epsilon>0$ there exist infinitely many $N$ where $ \lvert \{1,\ldots,N\}\backslash B\rvert \gg_\epsilon N^{1/3-\epsilon}. $ Erd""{o}s and Freud investigated the finite analogue in \cite{ErFr91}, proving that there exists $A\subseteq \{1,\ldots,N\}$ such that the number of integers not representable in exactly one way as the sum of two elements from $A$ is $<2^{3/2}N^{1/2}$, and suggest the constant $2^{3/2}$ is perhaps best possible. References [ErFr91] Erdos, P. and Freud, R., On sums of a {S}idon-sequence. J. Number Theory (1991), 196--205.","open",1,1
1885,"EP-15","Erdős Problem #15","Is it true that $ \sum_{n=1}^\infty(-1)^n\frac{n}{p_n} $ converges, where $p_n$ is the sequence of primes?","Erdos suggested that a computer could be used to explore this, and did not see any other method to attack this. Tao \cite{Ta23} has proved that this series does converge assuming a strong form of the Hardy-Littlewood prime tuples conjecture. In \cite{Er98} Erdos further conjectures that $ \sum_{n=1}^\infty (-1)^n \frac{1}{n(p_{n+1}-p_n)} $ converges and $ \sum_{n=1}^\infty (-1)^n \frac{1}{p_{n+1}-p_n} $ diverges. Weisenberg notes that the existence of infinitely many bounded gaps between primes (as proved by Zhang \cite{Zh14}) implies the latter series does not converge. Weisenberg also has an argument which shows that, assuming the Hardy-Littlewood prime $k$-tuples conjecture, the series is unbounded in at least one direction (positive or negative). Erdos further conjectured that $ \sum_{n=1}^\infty (-1)^n \frac{1}{n(p_{n+1}-p_n)(\log\log n)^c} $ converges for every $c>0$, and reports that he and Nathanson can prove that this series converges absolutely for $c>2$ (and can show, conditional on 'hopeless' conjectures about the primes, that this sum does not converge absolutely for $c=2$). Sawhney has provided the following proof that this series converges absolutely for $c>2$: note that, whenever $c>1$, the contribution to the sum from gaps $p_{n+1}-p_n\geq \log n$ is convergent, so it suffices to consider only small gaps. The number of $n\leq X$ such that $p_{n+1}-p_n\in [\epsilon\log n,2\epsilon \log n)$ is bounded above by $\ll \epsilon X$ (this can be proved via the Selberg sieve). In particular, applying this bound for $\frac{1}{\log n}\leq \epsilon \leq 1$ of the shape $2^{-j}$ (of which there are at most $\log\log n$ possibilities) shows the desired convergence, since $ \sum \frac{1}{n(\log n)(\log\log n)^{c-1}} $ converges. References [Er98] Erdos, Paul, Some of my new and almost new problems and results in combinatorial number theory. Number theory (Eger, 1996) (1998), 169-180. [Ta23] Tao, T., The convergence of an alternating series of Erdos, assuming the Hardy-Littlewood prime tuples conjecture. arXiv:2308.07205 (2023). [Zh14] Zhang, Yitang, Bounded gaps between primes. Ann. of Math. (2) (2014), 1121--1174.","open",1,1
1886,"EP-17","Erdős Problem #17","Are there infinitely many primes $p$ such that every even number $n\leq p-3$ can be written as a difference of primes $n=q_1-q_2$ where $q_1,q_2\leq p$?","The first prime without this property is $97$. The sequence of such primes is A038133 in the OEIS. These are called cluster primes. Blecksmith, Erdos, and Selfridge \cite{BES99} proved that the number of such primes is $ \ll_A \frac{x}{(\log x)^A} $ for every $A>0$, and Elsholtz \cite{El03} improved this to $ \ll x\exp(-c(\log\log x)^2) $ for every $c<1/8$. This is discussed in problem C1 of Guy's collection \cite{Gu04}. References [BES99] Blecksmith, Richard and Erdos, Paul and Selfridge, J. L., Cluster primes. Amer. Math. Monthly (1999), 43--48. [El03] Elsholtz, Christian, On cluster primes. Acta Arith. (2003), 281--284. [Gu04] Guy, Richard K., Unsolved problems in number theory. (2004), xviii+437.","open",1,1
1887,"EP-18","Erdős Problem #18","We call $m$ practical if every integer $n<m$ is the sum of distinct divisors of $m$. If $m$ is practical then let $h(m)$ be such that $h(m)$ many divisors always suffice. Are there infinitely many practical $m$ such that $ h(m) < (\log\log m)^{O(1)}? $ Is it true that $h(n!)<n^{o(1)}$? Or perhaps even $h(n!)<(\log n)^{O(1)}$?","It is easy to see that almost all numbers are not practical. Erdos originally showed that $h(n!) <n$. Vose \cite{Vo85} proved the existence of infinitely many practical $m$ such that $h(m)\ll (\log m)^{1/2}$. The sequence of practical numbers is A005153 in the OEIS. The reward of \$250 is offered in \cite{Er81h}, apparently (although this is not entirely clear) for a proof or disproof of whether $ h(n!) <(\log n)^{O(1)}. $ See also [304] and [825]. References [Er81h] Erdos, P., Some problems and results on additive and multiplicative number theory. Analytic number theory (Philadelphia, Pa., 1980) (1981), 171-182. [Vo85] Vose, Michael D., Egyptian fractions. Bull. London Math. Soc. (1985), 21-24.","open",1,1
