"to_check_rank","ease_bucket","id","problem_number","title","latest_reference_year","references_section_present","reference_years_count"
"1","no-reference-years","EP-1","EP-1","Erdos Problem #1","","false","0"
"2","no-reference-years","EP-3","EP-3","Erdos Problem #3","","false","0"
"3","no-reference-years","EP-5","EP-5","Erdos Problem #5","","false","0"
"4","no-reference-years","EP-9","EP-9","Erdos Problem #9","","false","0"
"5","no-reference-years","EP-10","EP-10","Erdos Problem #10","","false","0"
"6","no-reference-years","EP-12","EP-12","Erdos Problem #12","","false","0"
"7","no-reference-years","EP-14","EP-14","Erdos Problem #14","","false","0"
"8","no-reference-years","EP-15","EP-15","Erdos Problem #15","","false","0"
"9","no-reference-years","EP-17","EP-17","Erdos Problem #17","","false","0"
"10","no-reference-years","EP-18","EP-18","Erdos Problem #18","","false","0"
"11","no-reference-years","EP-20","EP-20","Erdos Problem #20","","false","0"
"12","no-reference-years","EP-25","EP-25","Erdos Problem #25","","false","0"
"13","no-reference-years","EP-28","EP-28","Erdos Problem #28","","false","0"
"14","no-reference-years","EP-30","EP-30","Erdos Problem #30","","false","0"
"15","no-reference-years","EP-32","EP-32","Erdos Problem #32","","false","0"
"16","no-reference-years","EP-33","EP-33","Erdos Problem #33","","false","0"
"17","no-reference-years","EP-36","EP-36","Erdos Problem #36","","false","0"
"18","no-reference-years","EP-38","EP-38","Erdos Problem #38","","false","0"
"19","no-reference-years","EP-39","EP-39","Erdos Problem #39","","false","0"
"20","no-reference-years","EP-40","EP-40","Erdos Problem #40","","false","0"
"21","no-reference-years","EP-41","EP-41","Erdos Problem #41","","false","0"
"22","no-reference-years","EP-42","EP-42","Erdos Problem #42","","false","0"
"23","no-reference-years","EP-43","EP-43","Erdos Problem #43","","false","0"
"24","no-reference-years","EP-44","EP-44","Erdos Problem #44","","false","0"
"25","no-reference-years","EP-50","EP-50","Erdos Problem #50","","false","0"
"26","no-reference-years","EP-51","EP-51","Erdos Problem #51","","false","0"
"27","no-reference-years","EP-52","EP-52","Erdos Problem #52","","false","0"
"28","no-reference-years","EP-60","EP-60","Erdos Problem #60","","false","0"
"29","no-reference-years","EP-61","EP-61","Erdos Problem #61","","false","0"
"30","no-reference-years","EP-62","EP-62","Erdos Problem #62","","false","0"
"31","no-reference-years","EP-65","EP-65","Erdos Problem #65","","false","0"
"32","no-reference-years","EP-66","EP-66","Erdos Problem #66","","false","0"
"33","no-reference-years","EP-68","EP-68","Erdos Problem #68","","false","0"
"34","no-reference-years","EP-70","EP-70","Erdos Problem #70","","false","0"
"35","no-reference-years","EP-74","EP-74","Erdos Problem #74","","false","0"
"36","no-reference-years","EP-75","EP-75","Erdos Problem #75","","false","0"
"37","no-reference-years","EP-77","EP-77","Erdos Problem #77","","false","0"
"38","no-reference-years","EP-78","EP-78","Erdos Problem #78","","false","0"
"39","no-reference-years","EP-80","EP-80","Erdos Problem #80","","false","0"
"40","no-reference-years","EP-81","EP-81","Erdos Problem #81","","false","0"
"41","no-reference-years","EP-82","EP-82","Erdos Problem #82","","false","0"
"42","no-reference-years","EP-84","EP-84","Erdos Problem #84","","false","0"
"43","no-reference-years","EP-86","EP-86","Erdos Problem #86","","false","0"
"44","no-reference-years","EP-87","EP-87","Erdos Problem #87","","true","0"
"45","no-reference-years","EP-89","EP-89","Erdos Problem #89","","false","0"
"46","no-reference-years","EP-91","EP-91","Erdos Problem #91","","false","0"
"47","no-reference-years","EP-92","EP-92","Erdos Problem #92","","false","0"
"48","no-reference-years","EP-96","EP-96","Erdos Problem #96","","false","0"
"49","no-reference-years","EP-98","EP-98","Erdos Problem #98","","false","0"
"50","no-reference-years","EP-100","EP-100","Erdos Problem #100","","false","0"
"51","no-reference-years","EP-101","EP-101","Erdos Problem #101","","false","0"
"52","no-reference-years","EP-102","EP-102","Erdos Problem #102","","false","0"
"53","no-reference-years","EP-103","EP-103","Erdos Problem #103","","false","0"
"54","no-reference-years","EP-104","EP-104","Erdos Problem #104","","false","0"
"55","no-reference-years","EP-108","EP-108","Erdos Problem #108","","false","0"
"56","no-reference-years","EP-111","EP-111","Erdos Problem #111","","false","0"
"57","no-reference-years","EP-112","EP-112","Erdos Problem #112","","false","0"
"58","no-reference-years","EP-114","EP-114","Erdos Problem #114","","false","0"
"59","no-reference-years","EP-119","EP-119","Erdos Problem #119","","false","0"
"60","no-reference-years","EP-120","EP-120","Erdos Problem #120","","false","0"
"61","no-reference-years","EP-122","EP-122","Erdos Problem #122","","false","0"
"62","no-reference-years","EP-123","EP-123","Erdos Problem #123","","false","0"
"63","no-reference-years","EP-124","EP-124","Erdos Problem #124","","false","0"
"64","no-reference-years","EP-126","EP-126","Erdos Problem #126","","false","0"
"65","no-reference-years","EP-129","EP-129","Erdos Problem #129","","false","0"
"66","no-reference-years","EP-130","EP-130","Erdos Problem #130","","false","0"
"67","no-reference-years","EP-131","EP-131","Erdos Problem #131","","false","0"
"68","no-reference-years","EP-132","EP-132","Erdos Problem #132","","false","0"
"69","no-reference-years","EP-137","EP-137","Erdos Problem #137","","false","0"
"70","no-reference-years","EP-138","EP-138","Erdos Problem #138","","false","0"
"71","no-reference-years","EP-141","EP-141","Erdos Problem #141","","false","0"
"72","no-reference-years","EP-142","EP-142","Erdos Problem #142","","false","0"
"73","no-reference-years","EP-143","EP-143","Erdos Problem #143","","false","0"
"74","no-reference-years","EP-145","EP-145","Erdos Problem #145","","false","0"
"75","no-reference-years","EP-146","EP-146","Erdos Problem #146","","false","0"
"76","no-reference-years","EP-148","EP-148","Erdos Problem #148","","false","0"
"77","no-reference-years","EP-151","EP-151","Erdos Problem #151","","false","0"
"78","no-reference-years","EP-152","EP-152","Erdos Problem #152","","false","0"
"79","no-reference-years","EP-153","EP-153","Erdos Problem #153","","false","0"
"80","no-reference-years","EP-155","EP-155","Erdos Problem #155","","false","0"
"81","no-reference-years","EP-156","EP-156","Erdos Problem #156","","false","0"
"82","no-reference-years","EP-158","EP-158","Erdos Problem #158","","false","0"
"83","no-reference-years","EP-159","EP-159","Erdos Problem #159","","false","0"
"84","no-reference-years","EP-160","EP-160","Erdos Problem #160","","false","0"
"85","no-reference-years","EP-161","EP-161","Erdos Problem #161","","false","0"
"86","no-reference-years","EP-162","EP-162","Erdos Problem #162","","false","0"
"87","no-reference-years","EP-165","EP-165","Erdos Problem #165","","false","0"
"88","no-reference-years","EP-168","EP-168","Erdos Problem #168","","false","0"
"89","no-reference-years","EP-169","EP-169","Erdos Problem #169","","false","0"
"90","no-reference-years","EP-170","EP-170","Erdos Problem #170","","false","0"
"91","no-reference-years","EP-172","EP-172","Erdos Problem #172","","false","0"
"92","no-reference-years","EP-173","EP-173","Erdos Problem #173","","false","0"
"93","no-reference-years","EP-174","EP-174","Erdos Problem #174","","false","0"
"94","no-reference-years","EP-176","EP-176","Erdos Problem #176","","false","0"
"95","no-reference-years","EP-177","EP-177","Erdos Problem #177","","false","0"
