"to_check_rank","problem_number","title","proof_attempt_status","proof_attempt_domain","latest_reference_year","proof_attempt_concise"
"1","EP-25","Erdős Problem #25","not_proved_no_reference_block","number_theory","","Tried minimal-counterexample plus modular/sieve-style reductions. Hard point: obtaining enough uniformity/cancellation beyond what current modular or sieve control gives."
"2","EP-40","Erdős Problem #40","not_proved_no_reference_block","general_combinatorics","","Tried direct contradiction and structural decomposition of the extremal case. Hard point: This is a stronger form of the Erdos-Tur\'{a}n conjecture [28] (since establishing this for any function $g(N)\to \infty$ would imply a positive solution to [28])."
"3","EP-42","Erdős Problem #42","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"4","EP-43","Erdős Problem #43","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: Since it is known that $f(N)\sim \sqrt{N}$ (see [30]) the latter question is equivalent to asking whether, if $\lvert A\rvert=\lvert B\rvert$, $ \lvert A\rvert \leq \left(\frac{1}{\sqrt{2}}-c+o(1)\ri…"
"5","EP-70","Erdős Problem #70","not_proved_no_reference_block","set_theory","","Tried partition-calculus reformulation and transfinite induction scaffolding. Hard point: Erdos and Rado proved that $\mathfrak{c}\to (\omega+n,4)_2^3$ for any $2\leq n<\omega$."
"6","EP-103","Erdős Problem #103","not_proved_no_reference_block","combinatorial_geometry","","Tried extremal-configuration reduction with compactness-style reasoning. Hard point: classifying extremal configurations well enough to make the final bound rigid."
"7","EP-129","Erdős Problem #129","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: Conjectured by Erdos and Gy\'{a}rf\'{a}s, who proved the existence of some $C>1$ such that $R(n;3,r)>C^{\sqrt{n}}$."
"8","EP-152","Erdős Problem #152","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"9","EP-153","Erdős Problem #153","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"10","EP-155","Erdős Problem #155","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"11","EP-158","Erdős Problem #158","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: If we replace $2$ by $1$ then $A$ is a Sidon set, for which Erdos proved this is true."
"12","EP-162","Erdős Problem #162","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: converting local forbidden-pattern constraints into a sharp global extremal bound."
"13","EP-180","Erdős Problem #180","not_proved_no_reference_block","graph_theory","","Tried probabilistic construction and extremal counting inequalities. Hard point: This conjecture may still hold for all other $\mathcal{F}$."
"14","EP-190","Erdős Problem #190","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
"15","EP-197","Erdős Problem #197","not_proved_no_reference_block","additive_combinatorics","","Tried an additive-energy/density-increment reduction and small-parameter sanity checks. Hard point: closing the quantitative gap between current density bounds and the conjectured threshold."
